,Last name,First name,SSN,Test1,Test2,Test3,Test4,Final,Grade,total,average,pass
0,Alfalfa,"   ""Aloysius""","   ""123-45-6789""",40.0,90.0,100.0,83.0,49.0,D-,362.0,72.4,True
1,Alfred,"    ""University"""," ""123-12-1234""",41.0,97.0,96.0,97.0,48.0,D+,379.0,75.8,True
2,Gerty,"     ""Gramma""","     ""567-89-0123""",41.0,80.0,60.0,40.0,44.0,C,265.0,53.0,True
3,Android,"   ""Electric""","   ""087-65-4321""",42.0,23.0,36.0,45.0,47.0,B-,193.0,38.6,True
4,Bumpkin,"   ""Fred""","       ""456-78-9012""",43.0,78.0,88.0,77.0,45.0,A-,331.0,66.2,True
5,Rubble,"    ""Betty""","      ""234-56-7890""",44.0,90.0,80.0,90.0,46.0,C-,350.0,70.0,True
6,Noshow,"    ""Cecil""","      ""345-67-8901""",45.0,11.0,-1.0,4.0,43.0,F,102.0,20.4,False
7,Buff,"      ""Bif""","        ""632-79-9939""",46.0,20.0,30.0,40.0,50.0,B+,186.0,37.2,True
8,Airpump,"   ""Andrew""","     ""223-45-6789""",49.0,1.0,90.0,100.0,83.0,A,323.0,64.6,True
9,Backus,"    ""Jim""","        ""143-12-1234""",48.0,1.0,97.0,96.0,97.0,A+,339.0,67.8,True
10,Carnivore," ""Art""","        ""565-89-0123""",44.0,1.0,80.0,60.0,40.0,D+,225.0,45.0,True
11,Dandy,"     ""Jim""","        ""087-75-4321""",47.0,1.0,23.0,36.0,45.0,C+,152.0,30.4,True
12,Elephant,"  ""Ima""","        ""456-71-9012""",45.0,1.0,78.0,88.0,77.0,B-,289.0,57.8,True
13,Franklin,"  ""Benny""","      ""234-56-2890""",50.0,1.0,90.0,80.0,90.0,B-,311.0,62.2,True
14,George,"    ""Boy""","        ""345-67-3901""",40.0,1.0,11.0,-1.0,4.0,B,55.0,11.0,True
15,Heffalump," ""Harvey""","     ""632-79-9439""",30.0,1.0,20.0,30.0,40.0,C,121.0,24.2,True
